Id	Identifier	Description	Dependency	Importance
257	_RUInAE3_EeSrhOP0QMvu1g	operates using the force-balance technique	6	1
258	_ZHAtcE3_EeSrhOP0QMvu1g	withstand high pressures	1	2
259	_sLHQgE3_EeSrhOP0QMvu1g	achieves accurary of +/-0.15%	1	1
260	_Zf980E37EeSrhOP0QMvu1g	Temperature transducer	4	7
261	_3FzccE3_EeSrhOP0QMvu1g	operates by measuring the output of a thermocouple	7	4
262	_EEUhUE4AEeSrhOP0QMvu1g	should be close to the process fluid as possible	5	5
263	_xL5moE37EeSrhOP0QMvu1g	Combined pressure and temperature transducer	3	3
264	_O32VUE4AEeSrhOP0QMvu1g	combine pressure and temperature elements into one package	5	3
265	_cRNjIE4AEeSrhOP0QMvu1g	Sand detector	7	1
266	_fBX9oE4AEeSrhOP0QMvu1g	monitoring the noise generated by sand impoackts on a solid suface or by measuring the erosion damage of a target inserted in to the flow	7	2
267	_i6mR8E4AEeSrhOP0QMvu1g	manage long-term damage of pipe/flowline	5	3
268	_0r3GYE37EeSrhOP0QMvu1g	choke position indicator	7	7
269	_5vKBIE37EeSrhOP0QMvu1g	downhole pressure temperature transducer	1	1
270	_NAZ4sCaGEeS0tfUgpGqGlg	flying lead	6	4
271	_ZihhACjtEeSjObCA45V3CQ	transfer electircal power and communications signals,hydraulic power,and/or chemicals to the subsea components of the subsea production system.	5	6
272	_KRxIMCaGEeS0tfUgpGqGlg	control buoy	7	2
273	_A0y6YC58EeS9p6LIBlWIGA	connected to the subsea components of the subsea porduction system via an electrical/fibre optic /hydraulic control umbilical	4	6
274	_MqwkYCjtEeSjObCA45V3CQ	communicate with the surface production facility via umbilical,acoustic ,radio or satallite links or a combination thereof	7	2
275	_8IdEICaFEeS0tfUgpGqGlg	umbilical	1	4
276	__hesECaeEeS0tvUgpGqGlg	transfer electrical power	5	4
277	_gc3dICkSEeSjObCA45V3CQ	transfer hydraulic power	1	3
278	_Z-XM0CaaEeS0tfUgpGqGlg	supplies chemicals to the injection points of the subsea prodcution system	6	4
279	_zw2Z0CaiEeS0tvUgpGqGlg	transfer  communication signals,via power cable,signal cable or fibre optic	5	1
280	_3xG-gCj4EeSjObCA45V3CQ	increased scope with respect to number of umbilicals	2	2
281	_OdaXUCj5EeSjObCA45V3CQ	connection mode 	3	2
282	_VjOjcCj5EeSjObCA45V3CQ	serial connctions	5	6
283	_ZCs7ACj5EeSjObCA45V3CQ	parallel connections	5	4
284	___HesCndEeSZ88Ie2i6ozw	The number of spares in the umbilical should be specified based on the redundancy needed and relative impact on umbilical design	1	7
285	_4PZ5cCwsEeSQFYYf79Ksag	Output fluid from the umbilicals shall satisfy a cleanliness requirement according to manufacturer's written specification, as defined in ISO 4406.	6	6
286	_4p7qMC5ZEeS9p6LIBlWIGA	Overpressure protection	3	5
